date;hosp_symptoms;intensive_care;hosp;positives;discharged;deceased;swabs
2020-02-24T18:00:00;101;26;127;221;1;7;4324
2020-02-25T18:00:00;114;35;150;311;1;10;8623
2020-02-26T18:00:00;128;36;164;385;3;12;9587
2020-02-27T18:00:00;248;56;304;588;45;17;12014
2020-02-28T18:00:00;345;64;409;821;46;21;15695
2020-02-29T18:00:00;401;105;506;1049;50;29;18661
2020-03-01T18:00:00;639;140;779;1577;83;34;21127
2020-03-02T18:00:00;742;166;908;1835;149;52;23345
2020-03-03T18:00:00;1034;229;1263;2263;160;79;25856
2020-03-04T18:00:00;1346;295;1641;2706;276;107;29837
2020-03-05T18:00:00;1790;351;2141;3296;414;148;32362
2020-03-06T18:00:00;2394;462;2856;3916;523;197;36359
2020-03-07T18:00:00;2651;567;3218;5061;589;233;42062
2020-03-08T18:00:00;3557;650;4207;6387;622;366;49937
2020-03-09T18:00:00;4316;733;5049;7985;724;463;53826
2020-03-10T18:00:00;5038;877;5915;8514;1004;631;60761
2020-03-11T17:00:00;5838;1028;6866;10590;1045;827;73154
2020-03-12T17:00:00;6650;1153;7803;12839;1258;1016;86011
2020-03-13T17:00:00;7426;1328;8754;14955;1439;1266;97488
2020-03-14T17:00:00;8372;1518;9890;17750;1966;1441;109170
2020-03-15T17:00:00;9663;1672;11335;20603;2335;1809;124899
2020-03-16T17:00:00;11025;1851;12876;23073;2749;2158;137962
2020-03-17T17:00:00;12894;2060;14954;26062;2941;2503;148657
2020-03-18T17:00:00;14363;2257;16620;28710;4025;2978;165541
2020-03-19T17:00:00;15757;2498;18255;33190;4440;3405;182777
2020-03-20T17:00:00;16020;2655;18675;37860;5129;4032;206886
2020-03-21T17:00:00;17708;2857;20565;42681;6072;4825;233222
2020-03-22T17:00:00;19846;3009;22855;46638;7024;5476;258402
2020-03-23T17:00:00;20692;3204;23896;50418;7432;6077;275468
2020-03-24T17:00:00;21937;3396;25333;54030;8326;6820;296964
2020-03-25T17:00:00;23112;3489;26601;57521;9362;7503;324445
2020-03-26T17:00:00;24753;3612;28365;62013;10361;8165;361060
2020-03-27T17:00:00;26029;3732;29761;66414;10950;9134;394079
2020-03-28T17:00:00;26676;3856;30532;70065;12384;10023;429526
2020-03-29T17:00:00;27386;3906;31292;73880;13030;10779;454030
