YearWeekISO,hosp_symptoms,new_hosp_symptoms,intensive_care,new_intensive_care,hosp,new_hosp,positives,new_positives,discharged,new_discharged,deceased,new_deceased,swabs,new_swabs,FirstDose,SecondDose,DoseAdditional1,UnknownDose,Total,Vax_Camp
2020-W09,639,0.0,140,0.0,779,0.0,1577,0.0,83,0.0,34,0.0,21127,0.0,0.0,0.0,0.0,0.0,0.0,No
2020-W10,3557,2918.0,650,510.0,4207,3428.0,6387,4810.0,622,539.0,366,332.0,49937,28810.0,0.0,0.0,0.0,0.0,0.0,No
2020-W11,9663,6106.0,1672,1022.0,11335,7128.0,20603,14216.0,2335,1713.0,1809,1443.0,124899,74962.0,0.0,0.0,0.0,0.0,0.0,No
2020-W12,19846,10183.0,3009,1337.0,22855,11520.0,46638,26035.0,7024,4689.0,5476,3667.0,258402,133503.0,0.0,0.0,0.0,0.0,0.0,No
2020-W13,27386,7540.0,3906,897.0,31292,8437.0,73880,27242.0,13030,6006.0,10779,5303.0,454030,195628.0,0.0,0.0,0.0,0.0,0.0,No
2020-W14,29010,1624.0,4068,162.0,33004,1712.0,91246,17366.0,21815,8785.0,15887,5108.0,691461,237431.0,0.0,0.0,0.0,0.0,0.0,No
2020-W15,28976,-34.0,3898,-170.0,32874,-130.0,102253,11007.0,34211,12396.0,19899,4012.0,1010193,318732.0,0.0,0.0,0.0,0.0,0.0,No
2020-W16,28023,-953.0,3260,-638.0,31283,-1591.0,108257,6004.0,47055,12844.0,23660,3761.0,1356541,346348.0,0.0,0.0,0.0,0.0,0.0,No
2020-W17,24906,-3117.0,2573,-687.0,27479,-3804.0,108237,-20.0,64928,17873.0,26644,2984.0,1757659,401118.0,0.0,0.0,0.0,0.0,0.0,No
2020-W18,20353,-4553.0,1956,-617.0,22309,-5170.0,105813,-2424.0,81654,16726.0,28884,2240.0,2153772,396113.0,0.0,0.0,0.0,0.0,0.0,No
2020-W19,16823,-3530.0,1479,-477.0,18302,-4007.0,99980,-5833.0,105186,23532.0,30560,1676.0,2565912,412140.0,0.0,0.0,0.0,0.0,0.0,No
2020-W20,13539,-3284.0,999,-480.0,14538,-3764.0,82488,-17492.0,125176,19990.0,31908,1348.0,3004960,439048.0,0.0,0.0,0.0,0.0,0.0,No
2020-W21,10207,-3332.0,749,-250.0,10956,-3582.0,66553,-15935.0,140479,15303.0,32785,877.0,3447012,442052.0,0.0,0.0,0.0,0.0,0.0,No
2020-W22,8185,-2022.0,541,-208.0,8726,-2230.0,55300,-11253.0,157507,17028.0,33415,630.0,3878739,431727.0,0.0,0.0,0.0,0.0,0.0,No
2020-W23,6099,-2086.0,424,-117.0,6523,-2203.0,41367,-13933.0,165837,8330.0,33899,484.0,4236535,357796.0,0.0,0.0,0.0,0.0,0.0,No
2020-W24,4729,-1370.0,283,-141.0,5012,-1511.0,34730,-6637.0,176370,10533.0,34345,446.0,4620718,384183.0,0.0,0.0,0.0,0.0,0.0,No
2020-W25,3489,-1240.0,207,-76.0,3696,-1316.0,25909,-8821.0,182893,6523.0,34634,289.0,4984370,363652.0,0.0,0.0,0.0,0.0,0.0,No
2020-W26,2038,-1451.0,127,-80.0,2165,-1531.0,20637,-5272.0,188891,5998.0,34738,104.0,5314619,330249.0,0.0,0.0,0.0,0.0,0.0,No
2020-W27,1120,-918.0,96,-31.0,1216,-949.0,16496,-4141.0,192108,3217.0,34861,123.0,5638288,323669.0,0.0,0.0,0.0,0.0,0.0,No
2020-W28,946,-174.0,72,-24.0,1018,-198.0,14709,-1787.0,194928,2820.0,34954,93.0,5938811,300523.0,0.0,0.0,0.0,0.0,0.0,No
2020-W29,797,-149.0,65,-7.0,854,-164.0,13157,-1552.0,196949,2021.0,35045,91.0,6238049,299238.0,0.0,0.0,0.0,0.0,0.0,No
2020-W30,745,-52.0,49,-16.0,792,-62.0,12565,-592.0,198446,1497.0,35107,62.0,6560572,322523.0,0.0,0.0,0.0,0.0,0.0,No
2020-W31,749,4.0,47,-2.0,795,3.0,12616,51.0,200460,2014.0,35154,47.0,6916765,356193.0,0.0,0.0,0.0,0.0,0.0,No
2020-W32,779,30.0,45,-2.0,821,26.0,13263,647.0,202098,1638.0,35205,51.0,7249844,333079.0,0.0,0.0,0.0,0.0,0.0,No
2020-W33,801,22.0,56,11.0,850,29.0,14733,1470.0,203786,1688.0,35396,191.0,7557417,307573.0,0.0,0.0,0.0,0.0,0.0,No
2020-W34,971,170.0,69,13.0,1040,190.0,18438,3705.0,205470,1684.0,35437,41.0,8007637,450220.0,0.0,0.0,0.0,0.0,0.0,No
2020-W35,1251,280.0,86,17.0,1337,297.0,25205,6767.0,207536,2066.0,35477,40.0,8586341,578704.0,0.0,0.0,0.0,0.0,0.0,No
2020-W36,1683,432.0,133,47.0,1816,479.0,32078,6873.0,210015,2479.0,35541,64.0,9219257,632916.0,0.0,0.0,0.0,0.0,0.0,No
2020-W37,2042,359.0,187,54.0,2229,413.0,38509,6431.0,213634,3619.0,35610,69.0,9818118,598861.0,0.0,0.0,0.0,0.0,0.0,No
